EventNum,Event,Place,Crew,CrewAbbrev,Bow,Stroke,Start,Finish,500m,1000m,1500m,Backup_B,RawTime,PenaltyCode,AdjTime,Delta,Qual,Rank
2,M1x T1,35.0,MSĢ TSV SASS,SASS,15 [11:17],KĻAVIŅŠ Edvards 09,11:16:59.33,11:19:07.87,,,,02:08.5,02:08.54,,02:08.54,00:32.59,,
3,M2- T1,1.0,Daugavpils Sporta skola/LOVE,DSS/LOVE,2 [11:46],AZAREVIČS Rihards 05/FJODOROVS Artūrs 07,11:45:51.38,11:47:31.37,,,,01:39.8,01:39.99,,01:39.99,,,
3,M2- T1,2.0,MSĢ TSV Jūrmala,MSG,5 [11:49],BLUMBERGS Madars 07/ŠERSTŅOVS Teodors  07,11:48:48.55,11:50:30.92,,,,01:42.7,01:42.37,,01:42.37,00:02.38,,
3,M2- T1,3.0,RAK1872,RAK,3 [11:47],BALTAIS Vidis 73/BRIUKS Mārtiņš 73,11:46:46.93,11:48:32.97,,,,01:46.4,01:46.04,,01:46.04,00:06.05,,
3,M2- T1,4.0,MSĢ TSV Jūrmala,MSG,6 [11:50],DRENGERS Kristers  07/KŪKOJS Rūdis  08,11:49:52.42,11:51:41.00,,,,01:48.6,01:48.58,,01:48.58,00:08.59,,
3,M2- T1,5.0,Daugavpils Sporta skola,DSS,1 [11:45],LEDAKS Vladislavs 08/JEGOROVS Maksims 09,11:44:42.23,11:46:40.54,,,,01:58.2,01:58.31,,01:58.31,00:18.32,,
3,M2- T1,6.0,Daugavpils Sporta skola,DSS,4 [11:48],VANAGS Vadims 06/PUŠKELIS Nikita 08,11:47:48.91,11:49:48.66,,,,01:59.7,01:59.75,,01:59.75,00:19.76,,
4,W1x T1,1.0,MSĢ TSV SASS,SASS,50 [12:05],FREIMANE Evija 07,12:04:53.33,12:06:44.36,,,,01:51.4,01:51.03,,01:51.03,,,
4,W1x T1,2.0,MSĢ TSV SASS,SASS,47 [12:02],POHEVICA Laura 02,12:01:57.56,12:03:52.45,,,,01:55.1,01:54.89,,01:54.89,00:03.86,,
4,W1x T1,3.0,Daugavpils Sporta skola,DSS,49 [12:04],SIMANOVIČA Jekaterina 06,12:03:53.81,12:05:49.41,,,,01:55.7,01:55.60,,01:55.60,00:04.57,,
4,W1x T1,4.0,Jelgavas BJSS,JBJSS,43 [11:58],BUMBIERE Kristīne 03,11:57:57.87,11:59:54.14,,,,01:56.1,01:56.27,,01:56.27,00:05.24,,
4,W1x T1,5.0,Jelgavas BJSS,JBJSS,54 [12:09],SADIGOVA Liāna  08,12:08:50.81,12:10:49.06,,,,01:58.3,01:58.25,,01:58.25,00:07.22,,
4,W1x T1,6.0,MSĢ TSV Jūrmala,MSG,40 [11:55],JAKUBONE Tīna  06,11:54:40.41,11:56:39.40,,,,01:59.1,01:58.99,,01:58.99,00:07.96,,
4,W1x T1,7.0,Jelgavas BJSS,JBJSS,51 [12:06],MINAJEVA Amīna  06,12:05:47.98,12:07:49.44,,,,02:01.6,02:01.46,,02:01.46,00:10.43,,
4,W1x T1,8.0,Jelgavas BJSS,JBJSS,45 [12:00],BONDARE Beāte 08,11:59:53.38,12:01:54.97,,,,02:01.8,02:01.59,,02:01.59,00:10.56,,
4,W1x T1,9.0,MSĢ TSV Jūrmala,MSG,36 [11:51],BIRKĀNE Eva Evalīna 06,11:50:49.84,11:52:52.02,,,,02:02.4,02:02.18,,02:02.18,00:11.15,,
4,W1x T1,10.0,MSĢ TSV SASS,SASS,48 [12:03],METĀLA Dagnija 05,12:02:51.31,12:04:53.76,,,,02:02.6,02:02.45,,02:02.45,00:11.42,,
4,W1x T1,11.0,MSĢ TSV Jūrmala,MSG,39 [11:54],KRŪMIŅA Alma 08,11:53:46.62,11:55:50.28,,,,02:03.9,02:03.66,,02:03.66,00:12.63,,
4,W1x T1,12.0,MSĢ TSV Jūrmala,MSG,52 [12:07],BATURINA Aurelija 07,12:06:46.48,12:08:50.90,,,,02:04.7,02:04.42,,02:04.42,00:13.39,,
4,W1x T1,13.0,Jelgavas BJSS,JBJSS,44 [11:59],VOVERE Nora 10,11:58:51.15,12:00:56.23,,,,02:05.4,02:05.08,,02:05.08,00:14.05,,
4,W1x T1,14.0,MSĢ TSV SASS,SASS,37 [11:52],INDĀNE Līva 08,11:51:51.04,11:53:57.95,,,,02:07.1,02:06.91,,02:06.91,00:15.88,,
4,W1x T1,15.0,MSĢ TSV SASS,SASS,42 [11:57],LAVRINOVIČA Līva 07,11:56:43.64,11:58:51.77,,,,02:08.4,02:08.13,,02:08.13,00:17.10,,
4,W1x T1,16.0,Daugavpils Sporta skola,DSS,41 [11:56],VOLOSOVA Anastasija 09,11:55:48.18,11:57:57.56,,,,02:09.5,02:09.38,,02:09.38,00:18.35,,
4,W1x T1,17.0,MSĢ TSV Jūrmala,MSG,38 [11:53],RUMPE Estere 07,11:52:40.67,11:54:53.68,,,,02:13.1,02:13.01,,02:13.01,00:21.98,,
4,W1x T1,18.0,Jelgavas BJSS,JBJSS,53 [12:08],PLŪDUMA Marta 09,12:07:45.59,12:10:11.49,,,,02:25.7,02:25.90,,02:25.90,00:34.87,,
4,W1x T1,,MSĢ TSV Jūrmala,MSG,46 [12:01],KAŽMERE Sabīne  07,,,,,,,,,,,,
5,W2- K1,1.0,Daugavpils Sporta skola/LOVE,DSS/LOVE,3,STRODE Daniela 05/BULAŠA Diana 01,13:19:33.98,13:20:34.67,,,,01:01.0,01:00.69,,01:00.69,,,
5,W2- K1,2.0,Daugavpils Sporta skola/LOVE,DSS/LOVE,1,HOHLOVA Polina 04/PARFENA Līga 01,13:19:33.98,13:20:35.91,,,,01:01.7,01:01.93,,01:01.93,00:01.24,,
6,W2- FA,1.0,Daugavpils Sporta skola,DSS,2,GERMANE Anastasija 05/ROSMANOVIČA Elīna 04,13:24:34.61,13:25:31.18,,,,56.9,00:56.57,,00:56.57,,,
6,W2- FA,2.0,Daugavpils Sporta skola/LOVE,DSS/LOVE,3,STRODE Daniela 05/BULAŠA Diana 01,13:24:34.61,13:25:31.54,,,,57.7,00:56.93,,00:56.93,00:00.36,,
7,M1x T2,1.0,MSĢ TSV SASS,SASS,[13:31] 21,RASA Frederiks 09,13:30:51.99,13:31:42.38,,,,50.4,00:50.39,,00:50.39,,,
